,Title,Price,Original_Price,Discount,Link,Rating,Brand,Category,Price_Tier
57,BIOHEAL BOH Probioderm Collagen Remodeling Serum Double Pack (+Pad 2P),24.39,44.0,45.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240925543,4.9,BIOHEAL,Mask,Mid
58,SKIN1004 Madagascar Centella Double Cleansing Duo,23.8,28.0,15.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240825327,4.8,SKIN1004,Set,Mid
59,Dr.G Dermoisture Barrier. D Intense Cream 100mL Double Set,27.0,45.0,40.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240121550,4.9,Dr.G,Cream,Mid
60,numbuzin No.5+ Vitamin Concentrated Serum 30mL set (+6 pads gift),17.82,26.0,31.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA230518832,4.7,numbuzin,Serum,Budget
61,Anua Heartleaf Pore Control Cleansing Oil 200mL Double Set,40.0,28.0,0.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA240523476,4.7,Anua,Toner,Mid
62,FATION Nosca9 Trouble Serum 50ml Large Set (+Refill 40ml+Cream 10ml),39.54,63.0,37.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA250228888,4.8,FATION,Serum,Mid
63,MEDICUBE PDRN Pink Hyaluronic Moisture Cream 50ml Double Set,35.01,65.0,46.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA250430223,5.0,MEDICUBE,Cream,Mid
64,COSRX The Alpha-Arbutin 2 Discoloration Care Serum 50ml Set (+Peptide Serum 30ml),22.89,27.0,15.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA250329780,5.0,COSRX,Cream,Mid
65,Beauty of Joseon Dynasty Cream 50mL,24.0,28.0,0.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA220615261,4.7,Beauty,Cream,Mid
66,goodal Green Tangerine Vita C Dark Spot Care Serum 50ml Special Set (+extra 31ml),48.0,28.0,0.0,https://global.oliveyoung.comhttps://global.oliveyoung.com/product/detail?prdtNo=GA220213555,4.7,goodal,Cream,Premium
